Carga;Rpm;Bola;P_Int;P_Ext
0;1797;0.007;0;0
0;1797;0;0.007;0
0;1797;0;0;0.007
0;1797;0;0;0.007
0;1797;0;0;0.007
1;1772;0.007;0;0
1;1772;0;0.007;0
1;1772;0;0;0.007
1;1772;0;0;0.007
1;1772;0;0;0.007
2;1750;0.007;0;0
2;1750;0;0.007;0
2;1750;0;0;0.007
2;1750;0;0;0.007
2;1750;0;0;0.007
3;1730;0.007;0;0
3;1730;0;0.007;0
3;1730;0;0;0.007
3;1730;0;0;0.007
3;1730;0;0;0.007
0;1797;0.014;0;0
0;1797;0;0.014;0
0;1797;0;0;0.014
1;1772;0.014;0;0
1;1772;0;0.014;0
1;1772;0;0;0.014
2;1750;0.014;0;0
2;1750;0;0.014;0
2;1750;0;0;0.014
3;1730;0.014;0;0
3;1730;0;0.014;0
3;1730;0;0;0.014
0;1797;0.021;0;0
0;1797;0;0.021;0
0;1797;0;0;0.021
0;1797;0;0;0.021
0;1797;0;0;0.021
1;1772;0.021;0;0
1;1772;0;0.021;0
1;1772;0;0;0.021
1;1772;0;0;0.021
1;1772;0;0;0.021
2;1750;0.021;0;0
2;1750;0;0.021;0
2;1750;0;0;0.021
2;1750;0;0;0.021
2;1750;0;0;0.021
3;1730;0.021;0;0
3;1730;0;0.021;0
3;1730;0;0;0.021
3;1730;0;0;0.021
3;1730;0;0;0.021
0;1797;0.028;0;0
0;1797;0;0.028;0
1;1772;0.028;0;0
1;1772;0;0.028;0
2;1750;0.028;0;0
2;1750;0;0.028;0
3;1730;0.028;0;0
3;1730;0;0.028;0
0;1797;0;0;0
1;1772;0;0;0
2;1750;0;0;0
3;1730;0;0;0
0;1797;0.007;0;0
0;1797;0;0.007;0
0;1797;0;0;0.007
0;1797;0;0;0.007
0;1797;0;0;0.007
1;1772;0.007;0;0
1;1772;0;0.007;0
1;1772;0;0;0.007
1;1772;0;0;0.007
1;1772;0;0;0.007
2;1750;0.007;0;0
2;1750;0;0.007;0
2;1750;0;0;0.007
2;1750;0;0;0.007
2;1750;0;0;0.007
3;1730;0.007;0;0
3;1730;0;0.007;0
3;1730;0;0;0.007
3;1730;0;0;0.007
3;1730;0;0;0.007
0;1797;0.014;0;0
0;1797;0;0.014;0
0;1797;0;0;0.014
1;1772;0.014;0;0
1;1772;0;0.014;0
1;1772;0;0;0.014
2;1750;0.014;0;0
2;1750;0;0.014;0
2;1750;0;0;0.014
3;1730;0.014;0;0
3;1730;0;0.014;0
3;1730;0;0;0.014
0;1797;0.021;0;0
0;1797;0;0.021;0
0;1797;0;0;0.021
0;1797;0;0;0.021
0;1797;0;0;0.021
1;1772;0.021;0;0
1;1772;0;0.021;0
1;1772;0;0;0.021
1;1772;0;0;0.021
1;1772;0;0;0.021
2;1750;0.021;0;0
2;1750;0;0.021;0
2;1750;0;0;0.021
2;1750;0;0;0.021
2;1750;0;0;0.021
3;1730;0.021;0;0
3;1730;0;0.021;0
3;1730;0;0;0.021
3;1730;0;0;0.021
3;1730;0;0;0.021
0;1797;0;0;0
1;1772;0;0;0
2;1750;0;0;0
3;1730;0;0;0
