Motor Load (HP);Approx. Motor Speed (rpm);Inner Race;Ball;Outer Race6 ;Outer Race9;Outer Race12
-1,331117951;1,381101923;0,305379402;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;0,305379402;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;0,723604673;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;-0,434162804;0,992156742;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;-0,434162804;-0,330718914;0,992156742
-0,443705984;0,387503417;0,305379402;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;0,305379402;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;0,723604673;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;-0,434162804;0,992156742;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;-0,434162804;-0,330718914;0,992156742
0,443705984;-0,486863268;0,305379402;-0,508965669;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;0,305379402;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;0,723604673;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;-0,434162804;0,992156742;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;-0,434162804;-0,330718914;0,992156742
1,331117951;-1,281742072;0,305379402;-0,508965669;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;0,305379402;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;0,723604673;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;-0,434162804;0,992156742;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;-0,434162804;-0,330718914;0,992156742
-1,331117951;1,381101923;1,119724473;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;1,119724473;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;1,881372151;-0,330718914;-0,330718914
-0,443705984;0,387503417;1,119724473;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;1,119724473;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;1,881372151;-0,330718914;-0,330718914
0,443705984;-0,486863268;1,119724473;-0,508965669;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;1,119724473;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;1,881372151;-0,330718914;-0,330718914
1,331117951;-1,281742072;1,119724473;-0,508965669;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;1,119724473;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;1,881372151;-0,330718914;-0,330718914
-1,331117951;1,381101923;1,934069544;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;1,934069544;-0,434162804;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;3,039139628;-0,330718914;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;-0,434162804;3,637908053;-0,330718914
-1,331117951;1,381101923;-0,508965669;-0,508965669;-0,434162804;-0,330718914;3,637908053
-0,443705984;0,387503417;1,934069544;-0,508965669;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;1,934069544;-0,434162804;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;3,039139628;-0,330718914;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;-0,434162804;3,637908053;-0,330718914
-0,443705984;0,387503417;-0,508965669;-0,508965669;-0,434162804;-0,330718914;3,637908053
0,443705984;-0,486863268;1,934069544;-0,508965669;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;1,934069544;-0,434162804;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;3,039139628;-0,330718914;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;-0,434162804;3,637908053;-0,330718914
0,443705984;-0,486863268;-0,508965669;-0,508965669;-0,434162804;-0,330718914;3,637908053
1,331117951;-1,281742072;1,934069544;-0,508965669;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;1,934069544;-0,434162804;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;3,039139628;-0,330718914;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;-0,434162804;3,637908053;-0,330718914
1,331117951;-1,281742072;-0,508965669;-0,508965669;-0,434162804;-0,330718914;3,637908053
